agent	html_url	title	body	state	failure-reason	category
claude_code	https://github.com/MCPJam/inspector/pull/191	Step 1: Create base infrastructure for MCPProxyService extraction	## Summary    This PR creates the foundational infrastructure for extracting MCP transport management logic into a reusable service. This is the first step in a multi-part refactoring to improve code organization and maintainability.    ### Changes Made    • **Created shared infrastructure directory** (`server/src/shared/`)  • **Added TypeScript interfaces** for ServerConfig, MCPProxyOptions, ConnectionStatus, and Logger  • **Implemented utility functions** for session generation, configuration validation, and logging  • **Added comprehensive documentation** explaining the architecture and design decisions    ### Key Components    - `types.ts`: Core interfaces for configuration and status tracking  - `utils.ts`: Helper functions and console logger implementation  - `README.md`: Detailed documentation of the MCP Proxy Service architecture  - `index.ts`: Public API exports for the shared module    ### Benefits    - **Improved code organization** by separating transport logic from route handling  - **Type safety** with comprehensive TypeScript interfaces  - **Extensibility** for adding new transport types in future steps  - **Maintainability** through centralized configuration and error handling    ### Next Steps    This PR sets up the foundation for:  1. Step 2: Implementing TransportFactory class  2. Step 3: Creating MCPProxyService class   3. Step 4: Refactoring main server to use the new service    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>	closed	Abandoned/not reviewed	Non-Functional PR
claude_code	https://github.com/modelcontextprotocol/servers/pull/2307	Fix: Resolve browser multiplication issue in Puppeteer MCP server	## Problem  The Puppeteer MCP server was creating multiple Chrome browser instances with each tool call instead of reusing existing instances, leading to resource exhaustion and performance issues.    ### Symptoms  - Chrome process count growing with each Puppeteer tool call  - System resource exhaustion (memory, CPU)  - Performance degradation over time  - Multiple browser windows opening in non-headless mode    ## Root Cause  The `ensureBrowser()` function had several critical issues:  1. **Flawed browser restart logic**: New browsers were launched without properly closing existing ones  2. **No browser health validation**: Dead browser instances were not detected  3. **Missing process cleanup**: Orphaned Chrome processes accumulated  4. **Race conditions**: Multiple concurrent tool calls could trigger multiple browser launches    ## Solution  This PR implements a comprehensive fix with the following improvements:    ### 1. Browser Health Monitoring  - Added `isBrowserHealthy()` function to validate browser connectivity and responsiveness  - Checks both connection status and ability to retrieve pages with timeout protection    ### 2. Launch Concurrency Protection  - Implemented `browserLaunching` flag to prevent concurrent browser launches  - Ensures only one browser launch can occur at a time  - Subsequent calls wait for the launch to complete    ### 3. Enhanced Graceful Cleanup  - Improved browser closing with 5-second timeout protection  - Falls back to process-level cleanup if graceful close fails  - Added 500ms delay after cleanup to ensure proper resource release    ### 4. Process Signal Handlers  - Added handlers for SIGINT, SIGTERM, SIGHUP, and uncaught exceptions  - Ensures proper cleanup on server shutdown  - Prevents orphaned processes on unexpected exits    ### 5. Chrome Process Cleanup  - Implemented `cleanupChromeProcesses()` to kill orphaned Chrome instances  - Uses platform-specific commands to ensure cleanup  - Called on both normal and error paths    ## Testing  Tested the fix extensively:  - ✅ Multiple rapid tool calls (navigate, screenshot, evaluate)  - ✅ Verified stable browser count (no multiplication)  - ✅ Tested server restart scenarios  - ✅ Confirmed backward compatibility  - ✅ All existing functionality preserved    ### Before Fix  - Started with 6 Chrome processes  - After 4 tool calls: 15 processes  - After 7 tool calls: 15+ processes (continuously growing)    ### After Fix  - Stable at 15 processes regardless of tool call count  - Proper reuse of existing browser instance  - Clean shutdown with no orphaned processes    ## Breaking Changes  None - this is a backward-compatible bug fix that maintains all existing APIs and behavior.    ## Notes  - The fix is applied to the TypeScript source in the `archive-servers` branch  - The compiled JavaScript output has been tested and verified  - The same issue likely affects the npm-published version of `@modelcontextprotocol/server-puppeteer`    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>	closed	Unwanted feature	Incorrect Implementation
claude_code	https://github.com/ml-explore/mlx-examples/pull/1371	Add DeciLM/Nemotron-NAS architecture support	## Summary  This PR introduces native MLX support for DeciLM architecture models, including NVIDIA's Nemotron series that use Neural Architecture Search (NAS) optimizations.    ## Motivation  The Nemotron models represent a significant advancement in LLM efficiency through NAS optimization, but were previously incompatible with MLX due to their unique architecture featuring dummy layers and variable attention configurations. This PR enables running these massive models (up to 253B parameters) on Apple Silicon.    ## Key Features  - ✅ Support for dummy layers (no-op attention/FFN components that pass input unchanged)  - ✅ FFN fusion for improved efficiency (multiple FFN layers combined into wider parallel layers)  - ✅ Variable Grouped Query Attention (VGQA) with different number of KV heads per layer (1-8)  - ✅ Block configuration handling for NAS architectures  - ✅ Full conversion pipeline from HuggingFace to MLX format  - ✅ Comprehensive test suite    ## Tested Models  - **nvidia/Llama-3_1-Nemotron-Ultra-253B-v1**    - Q5 quantization: 3.86 tokens/sec generation on M3 Ultra   - Memory usage: ~175GB peak   - Pre-converted model available: [LibraxisAI/Llama-3_1-Nemotron-Ultra-253B-v1-mlx-q5](https://huggingface.co/LibraxisAI/Llama-3_1-Nemotron-Ultra-253B-v1-mlx-q5)  - Compatible with other DeciLM-based models    ## Implementation Details  The implementation handles the unique NAS architecture through:  1. `DummyAttention` and `DummyFFN` classes that implement no-op layers  2. Per-layer configuration loading from `block_config.py`  3. Proper weight mapping during conversion  4. Support for variable attention heads per layer    ## Performance  On Mac Studio M3 Ultra (512GB RAM):  - Nemotron-253B Q5: ~3.86 tokens/sec generation  - Prompt processing: ~27-35 tokens/sec  - This replaces the need for 2x A100/H100 GPUs ($60k+ hardware)    ## Testing  All tests pass. The test suite includes unit tests for dummy layers, block configuration, and conversion logic.    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>	closed	Unwanted feature	Abandoned / Not Reviewed
claude_code	https://github.com/mautic/mautic/pull/15077	[Private Fork] feat: add AuditLogSubscriber to log integration config changes with sensitive data sanitization	"| Q | A    | -------------------------------------- | ---    | Bug fix? (use the a.b branch) | ❌    | New feature/enhancement? (use the a.x branch) | ✔️    | Deprecations? | ❌    | BC breaks? (use the c.x branch) | ❌    | Automated tests included? | ❌    | Related user documentation PR URL | N/A    | Related developer documentation PR URL | N/A    | Issue(s) addressed | Related to private PR #6149        ## Description        This PR adds audit logging functionality for integration configuration changes. The AuditLogSubscriber automatically logs when integration settings are modified, with built-in sanitization of sensitive data like passwords, API keys, tokens, and secrets.        **Key Features:**    - Automatically logs integration configuration changes    - Sanitizes sensitive data (passwords, tokens, API keys, etc.) before logging    - Works with both plugin integrations and new integrations bundle    - Recursive sanitization for nested configuration arrays    - IP address tracking for audit trail        **Forked from private repository** - This is a continuation of work from PR #6135 in the private repository.        ---    ### 📋 Steps to test this PR:        1. Open this PR on Gitpod or pull down for testing locally (see docs on testing PRs [here](https://contribute.mautic.org/contributing-to-mautic/tester))    2. Go to Settings > Integrations    3. Configure any integration (e.g., Salesforce, HubSpot)    4. Save the integration configuration    5. Check the audit log to verify the integration changes are logged    6. Verify that sensitive data (API keys, passwords) are shown as ""******"" in the audit log    7. Test with both plugin-based integrations and new integrations bundle        🤖 Generated with [Claude Code](https://claude.ai/code)        Co-Authored-By: Claude <noreply@anthropic.com>"	closed	Abandoned/not reviewed	Wrong Branch
claude_code	https://github.com/eyaltoledano/claude-task-master/pull/925	feat: Implement comprehensive JSON schema validation with Zod integration	## Summary  This PR implements a comprehensive JSON schema validation system for task management, transitioning from AJV to Zod for improved type safety and developer experience. The implementation includes robust error handling, MCP server integration, and extensive test coverage.    ## Key Features    ### 🔧 Zod-based Validation System  - **Complete migration from AJV to Zod** for better TypeScript integration and developer experience  - **Recursive schema support** for nested subtasks with proper lazy evaluation  - **Comprehensive task validation** covering all required and optional fields  - **Real-time validation** during task operations (add, update, modify)    ### 📋 Schema Definitions  - **Task schema** with full field validation (id, title, description, status, dependencies, etc.)  - **Tasks file schema** supporting tagged structure with metadata  - **Flexible enum validation** for status (`pending`, `in-progress`, `done`, `review`, `deferred`, `cancelled`) and priority (`high`, `medium`, `low`)  - **Backward compatibility** with existing task structures    ### 🛠️ MCP Server Integration  - **New MCP tool** (`validate-tasks`) for external validation requests  - **Seamless integration** with existing MCP server architecture  - **Structured error reporting** for MCP clients    ### 🧪 Comprehensive Testing  - **399 tests passing** with extensive coverage of validation scenarios  - **Unit tests** for individual validation functions  - **Integration tests** for CLI validation commands  - **Error handling tests** for various failure scenarios  - **Test fixtures** covering valid and invalid task structures    ### 🔄 Enhanced Error Handling  - **Detailed error messages** with path information and suggested fixes  - **AJV-compatible error format** for seamless migration  - **Graceful degradation** when validation fails  - **User-friendly error formatting** for CLI and MCP interfaces    ## Technical Implementation    ### Core Validation Functions  - `validateTask()` - Single task validation with detailed error reporting  - `validateTasksFile()` - Complete file structure validation  - `validateTasksArray()` - Array of tasks validation  - `formatAjvError()` - Consistent error message formatting    ### Integration Points  - **Add Task Flow**: Validation before task creation in `add-task.js`  - **Update Task Flow**: Validation after task modifications in `update-task-by-id.js`  - **File Operations**: Automatic validation in `utils.js` during read/write operations  - **MCP Tools**: External validation endpoint for API consumers    ### Performance Optimizations  - **Lazy schema compilation** for recursive structures  - **Efficient error collection** with early termination options  - **Memory-efficient validation** for large task files    ## Files Modified    ### Core Implementation  - `scripts/modules/task-validator.js` - Main validation logic using Zod  - `scripts/modules/utils.js` - Integrated validation into file operations  - `scripts/modules/task-manager/add-task.js` - Task creation validation  - `scripts/modules/task-manager/update-task-by-id.js` - Task update validation    ### MCP Integration  - `mcp-server/src/tools/validate-tasks.js` - New MCP validation tool  - `mcp-server/src/tools/index.js` - Tool registration    ### Configuration & Dependencies  - `package.json` - Added Zod dependency and removed AJV  - `schemas/` - JSON schema files (maintained for reference)    ### Testing Infrastructure  - `tests/unit/task-validator.test.js` - Comprehensive validation tests  - `tests/integration/cli/validate-tasks.test.js` - CLI integration tests  - `tests/integration/cli/fixtures/` - Test fixtures for various scenarios  - `tests/unit/task-validator-error-handling.test.js` - Error handling tests    ### Documentation  - `docs/configuration.md` - Updated validation configuration docs    ## Breaking Changes  - **None** - Fully backward compatible with existing task structures  - **Migration path** provided for any edge cases    ## Test Results  ✅ **399 tests passing**   ✅ **Unit tests**: All validation functions thoroughly tested   ✅ **Integration tests**: CLI and MCP workflows validated   ✅ **Error handling**: Comprehensive error scenario coverage   ✅ **Performance tests**: Validation efficiency verified     ## Benefits  1. **Type Safety**: Zod provides better TypeScript integration and compile-time guarantees  2. **Developer Experience**: More intuitive error messages and schema definitions  3. **Maintainability**: Cleaner, more readable validation logic  4. **Extensibility**: Easy to add new validation rules and field types  5. **Performance**: Optimized validation with lazy evaluation for complex structures  6. **Testing**: Comprehensive test coverage ensures reliability    ## Migration Notes  - **Automatic migration**: Existing tasks files continue to work without changes  - **Gradual adoption**: New validation runs alongside existing logic  - **Error compatibility**: Error formats remain consistent for existing integrations    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>	closed	Wrong branch	Incomplete Implementation
claude_code	https://github.com/modelcontextprotocol/inspector/pull/486	fix: resolve dependency conflict preventing npx @modelcontextprotocol/inspector from running	Updated @radix-ui/react-tooltip from 1.1.8 to 1.2.7 to resolve peer dependency  conflicts that were causing installation failures when running the inspector  via npx. The older version had incompatible peer dependencies with other  packages in the project.    🤖 Generated with Claude Code    Co-Authored-By: Claude <noreply@anthropic.com>    <!-- Provide a brief summary of your changes -->    ## Motivation and Context  <!-- Why is this change needed? What problem does it solve? -->    ## How Has This Been Tested?  <!-- Have you tested this in a real application? Which scenarios were tested? -->    ## Breaking Changes  <!-- Will users need to update their code or configurations? -->    ## Types of changes  <!-- What types of changes does your code introduce? Put an `x` in all the boxes that apply: -->  - [ ] Bug fix (non-breaking change which fixes an issue)  - [ ] New feature (non-breaking change which adds functionality)  - [ ] Breaking change (fix or feature that would cause existing functionality to change)  - [ ] Documentation update    ## Checklist  <!-- Go over all the following points, and put an `x` in all the boxes that apply. -->  - [ ] I have read the [MCP Documentation](https://modelcontextprotocol.io)  - [ ] My code follows the repository's style guidelines  - [ ] New and existing tests pass locally  - [ ] I have added appropriate error handling  - [ ] I have added or updated documentation as needed    ## Additional context  <!-- Add any other context, implementation notes, or design decisions -->	closed	Abandoned/not reviewed	Incomplete Implementation
claude_code	https://github.com/mlflow/mlflow/pull/16861	Add event validation to `test_webhook` function	"<details><summary>&#x1F6E0 DevTools &#x1F6E0</summary>  <p>    [![Open in GitHub Codespaces](https://github.com/codespaces/badge.svg)](https://codespaces.new/harupy/mlflow/pull/16861?quickstart=1)    #### Install mlflow from this PR    ```  # mlflow  pip install git+https://github.com/mlflow/mlflow.git@refs/pull/16861/merge  # mlflow-skinny  pip install git+https://github.com/mlflow/mlflow.git@refs/pull/16861/merge#subdirectory=libs/skinny  ```    For Databricks, use the following command:    ```  %sh curl -LsSf https://raw.githubusercontent.com/mlflow/mlflow/HEAD/dev/install-skinny.sh | sh -s pull/16861/merge  ```    </p>  </details>    ### Related Issues/PRs    <!-- Uncomment 'Resolve' if this PR can close the linked items. -->  <!-- Resolve --> #xxx    ### What changes are proposed in this pull request?    This PR adds validation to the `test_webhook` function in `mlflow/webhooks/dispatch.py` to check if the passed-in event is in the webhook's configured events list. Previously, the function would accept any event without validation, potentially leading to confusion or unexpected behavior.    **Changes:**  - Added validation in `test_webhook()` to raise `MlflowException` with `INVALID_PARAMETER_VALUE` error code when an invalid event is provided  - Added comprehensive test case `test_webhook_test_with_invalid_event()` in `tests/webhooks/test_e2e.py` to verify the validation works correctly    ### How is this PR tested?    - [x] Existing unit/integration tests  - [x] New unit/integration tests  - [ ] Manual tests    Added a new test case `test_webhook_test_with_invalid_event` that:  1. Creates a webhook with specific events (`REGISTERED_MODEL_CREATED`, `MODEL_VERSION_CREATED`)  2. Attempts to test the webhook with an event not in the configured list (`MODEL_VERSION_TAG_SET`)  3. Validates that `MlflowException` is raised with appropriate error message    ### Does this PR require documentation update?    - [x] No. You can skip the rest of this section.  - [ ] Yes. I've updated:   - [ ] Examples   - [ ] API references   - [ ] Instructions    ### Release Notes    #### Is this a user-facing change?    - [ ] No. You can skip the rest of this section.  - [x] Yes. Give a description of this change to be included in the release notes for MLflow users.    Added validation to webhook testing functionality to ensure only configured events can be used when testing webhooks.    #### What component(s), interfaces, languages, and integrations does this PR affect?    Components    - [ ] `area/artifacts`: Artifact stores and artifact logging  - [ ] `area/build`: Build and test infrastructure for MLflow  - [ ] `area/deployments`: MLflow Deployments client APIs, server, and third-party Deployments integrations  - [ ] `area/docs`: MLflow documentation pages  - [ ] `area/evaluation`: MLflow model evaluation features, evaluation metrics, and evaluation workflows  - [ ] `area/examples`: Example code  - [ ] `area/model-registry`: Model Registry service, APIs, and the fluent client calls for Model Registry  - [ ] `area/models`: MLmodel format, model serialization/deserialization, flavors  - [ ] `area/projects`: MLproject format, project running backends  - [ ] `area/prompt`: MLflow prompt engineering features, prompt templates, and prompt management  - [ ] `area/scoring`: MLflow Model server, model deployment tools, Spark UDFs  - [x] `area/server-infra`: MLflow Tracking server backend  - [ ] `area/tracing`: MLflow Tracing features, tracing APIs, and LLM tracing functionality  - [ ] `area/tracking`: Tracking Service, tracking client APIs, autologging    Interface    - [ ] `area/uiux`: Front-end, user experience, plotting, JavaScript, JavaScript dev server  - [ ] `area/docker`: Docker use across MLflow's components, such as MLflow Projects and MLflow Models  - [ ] `area/sqlalchemy`: Use of SQLAlchemy in the Tracking Service or Model Registry  - [ ] `area/windows`: Windows support    Language    - [ ] `language/r`: R APIs and clients  - [ ] `language/java`: Java APIs and clients  - [ ] `language/new`: Proposals for new client languages    Integrations    - [ ] `integrations/azure`: Azure and Azure ML integrations  - [ ] `integrations/sagemaker`: SageMaker integrations  - [ ] `integrations/databricks`: Databricks integrations    <a name=""release-note-category""></a>    #### How should the PR be classified in the release notes? Choose one:    - [ ] `rn/none` - No description will be included. The PR will be mentioned only by the PR number in the ""Small Bugfixes and Documentation Updates"" section  - [ ] `rn/breaking-change` - The PR will be mentioned in the ""Breaking Changes"" section  - [x] `rn/feature` - A new user-facing feature worth mentioning in the release notes  - [ ] `rn/bug-fix` - A user-facing bug fix worth mentioning in the release notes  - [ ] `rn/documentation` - A user-facing documentation change worth mentioning in the release notes    #### Should this PR be included in the next patch release?    - [ ] Yes (this PR will be cherry-picked and included in the next patch release)  - [x] No (this PR will be included in the next minor release)    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>"	closed	Incomplete implementation	### Pull Request Details
claude_code	https://github.com/OpenAgentsInc/openagents/pull/1030	Fix agents page module resolution error and update slides presentation	## Summary  - Fixed critical module resolution error on /agents page that was causing complete page failure  - Updated slides presentation with new images and reordering  - Updated homepage Bitcoin for AI link and announcement time  - Made Channels navbar link localhost-only    ## Bug Fix Details    ### Module Resolution Error (Fixes #1029)  - Removed unused import from line 26  - Browser cannot resolve npm module specifiers without bundling  - This was causing:     ### Slides Updates  - Added new slides for SDK, Commander, NIP-OA, and dont images  - Reordered slides per user request  - Updated styling and spacing  - Fixed title positioning issues    ### Other Changes  - Updated Bitcoin for AI link to https://bitcoinfor.ai/ with 5pm CT announcement time  - Made Channels link only visible on localhost    ## Test Plan  - [x] Built openagents.com successfully  - [x] Verified agents page loads without console errors  - [x] Tested slides presentation navigation  - [x] All pre-push checks passed    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>	closed	Duplicate PRs	CI/Test Failure
claude_code	https://github.com/siteboon/claudecodeui/pull/129	feat: Enhanced Claude Code UI with Complete Transparency	"## Summary  This PR transforms Claude Code UI from a simple chat interface into a **complete transparency tool** that shows users EVERYTHING Claude is doing, thinking, and deciding in real-time.    ## What's New    ### 🚀 Key Features  - **Real-Time Tool Execution Monitor** - See exactly which files Claude is reading/writing with full context  - **Process Breakdown Visualization** - Multi-phase operation tracking with progress indicators  - **Resource Metrics Dashboard** - Live token usage, cost estimation, and performance metrics  - **Dual-Stream Architecture** - Captures both JSON and terminal output for complete visibility  - **Enhanced Error Context** - Detailed errors with actionable fixes and suggestions    ### 📊 Visual Improvements  - Multi-panel layout with tabs for different monitoring views  - Real-time sparkline charts for token usage  - Expandable tool execution details  - Progress bars and phase indicators  - ANSI color support for terminal output    ## Technical Implementation    ### Backend Changes  - `server/claude-cli-enhanced.js` - Dual-stream Claude process spawning  - `server/utils/ansi-parser.js` - Terminal output parsing and formatting  - Enhanced WebSocket messages with rich context    ### Frontend Components  - `ToolExecutionMonitor.jsx` - Real-time tool execution tracking  - `MetricsDashboard.jsx` - Resource usage and performance metrics  - `ProcessBreakdown.jsx` - Multi-phase operation visualization  - `EnhancedLayout.jsx` - New multi-panel interface    ## Benefits  1. **Educational** - Users can learn how Claude approaches problems  2. **Transparent** - No ""black box"" - see every decision and action  3. **Debuggable** - Detailed context for troubleshooting  4. **Efficient** - Track resource usage and optimize costs    ## Usage  ```bash  # Enable enhanced mode  npm run dev:enhanced  ```    ## Screenshots  The enhanced UI shows:  - Which specific files are being read/written  - Real-time progress of operations  - Token usage with cost estimates  - Multi-step operation breakdowns  - Detailed error context with fixes    This makes Claude Code the most transparent AI coding assistant available\!    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>"	closed	Abandoned/not reviewed	Abandoned / Not Reviewed
claude_code	https://github.com/wolfi-dev/os/pull/56793	kubeflow-centraldashboard: fix GHSA-v6h2-p8h4-qcjw in vendored protobufjs deps	## Summary  - Fixes CVE GHSA-v6h2-p8h4-qcjw (brace-expansion ReDoS vulnerability)  - The vulnerable brace-expansion@1.1.11 is vendored inside protobufjs's CLI dependencies  - Applied manual replacement during build to update to brace-expansion@1.1.12    ## Details  The vulnerability exists in a vendored dependency chain:  ```  kubeflow-centraldashboard  └── @google-cloud/monitoring@1.2.0   └── google-gax@1.3.0   └── protobufjs@6.11.2   └── cli/node_modules/ (vendored)   └── espree@7.3.1   └── glob@7.2.3   └── minimatch@3.1.2   └── brace-expansion@1.1.11 (vulnerable)  ```    Since protobufjs 6.x vendors its CLI dependencies, npm overrides don't work. The fix manually replaces the vendored brace-expansion during the build process.    ## Test plan  - [x] Built package successfully  - [x] Tests pass  - [x] Scanned with wolfictl - CVE is no longer present  - [x] Only two unrelated CVEs remain (taffydb and request)    🤖 Generated with [Claude Code](https://claude.ai/code)    Co-Authored-By: Claude <noreply@anthropic.com>	closed	Abandoned/not reviewed	CI/Test Failure
